line	text	TextType	WordCountinSent	SentCount
6	Bugün arkadaş hazırlan bekle, sabırsızlık yol koyul.	nar_T2	7	18
7	Ev gel ev her zaman daha sessiz.	nar_T2	7	18
8	Ev kimse gör merak gitgide art.	nar_T2	6	18
9	Belki de anne ve kardeş komşu.	nar_T2	6	18
10	Kapı çal anne sor ama o da haber yok.	nar_T2	9	18
11	Ev merak bekle başka çare yok.	nar_T2	6	18
12	Ah, ev yol heyecan vakit ak geç fakat şimdi zaman çok yavaş.	nar_T2	12	18
13	Anne ve kardeş ödül göster için sabırsızlan ki birden kapı aç.	nar_T2	11	18
14	Anne, kardeş ve ay gör babaanne gülümse kapı içeri gir.	nar_T2	10	18
15	Şaşkınlık ve mutluluk kalp hızlı hızlı çarp.	nar_T2	7	18
16	Babaanne ve anne Kerem harika bir sürpriz yap.	nar_T2	8	18
17	Kerem de ödül o gurur göster o da Kerem büyük bir sevinç tebrik et alkışla.	nar_T2	15	18
18	Birbiri mutluluk sarıl.	nar_T2	3	18
1	Kerem şiir yarışma kazan ödül gurur ev götür.	nar_T3	8	30
2	Ev yol kendi daha önce hiç bu kadar uzun gel düşün.	nar_T3	11	30
3	Anne ver tepki, mutluluk çığlık ve o sımsıkı sarıl hayal et.	nar_T3	11	30
4	Heyecanlan adım hızlan.	nar_T3	3	30
5	Ev ve okul aynı semt ol çok arkadaş gibi ev yürü git.	nar_T3	12	30
6	Bugün yol arkadaş hazırla bekle.	nar_T3	5	30
7	Yola sabırsızlık koy.	nar_T3	3	30
8	Ev gel ev her zaman farklı ve çok sessiz.	nar_T3	9	30
9	Ev kimsecik yok.	nar_T3	3	30
10	Kardeş oda bak.	nar_T3	3	30
11	Beşik boş.	nar_T3	2	30
12	Anne o okul al hiçbir yer git.	nar_T3	7	30
13	Git meraklan.	nar_T3	2	30
14	Buzdolap üzeri not ol akıl et.	nar_T3	6	30
15	Belki de anne kısa süre komşu git.	nar_T3	7	30
16	Umut buzdolap koş.	nar_T3	3	30
17	Herhangi bir not bul.	nar_T3	4	30
18	Komşu kapı anne terlik gör.	nar_T3	5	30
19	Yine de komşu kapı çal anne sor.	nar_T3	7	30
20	Anne o da haber ver.	nar_T3	5	30
21	Acaba kardeş hastalan ol?	nar_T3	4	30
22	Göz dol başla.	nar_T3	3	30
23	Çok sev kardeş.	nar_T3	3	30
24	Ev kaygı bekle başka çare kalma.	nar_T3	6	30
25	Ah, ev yol heyecan vakit geç bil şimdi ise zaman yavaşla sanki.	nar_T3	12	30
26	Bu üzeri zaman ile ilgili çeşitli düşünce üre başla.	nar_T3	9	30
27	Hatta bu bir oyun hal getir ki, birden kapı açıl.	nar_T3	10	30
28	Ay gör babaanne ile anne ve kardeş gülümse yüz gör.	nar_T3	10	30
29	Şaşkın ve mutluluk kalbi hızla çarp.	nar_T3	6	30
30	Kerem sürpriz yap.	nar_T3	3	30
