word	Part.of.Speech	Freq.Norm
acaröz	noun	0.024
acarsoy	noun	0.03
acartürk	noun	0.128
acatay	noun	0.005
acayip	adj	20.126
acayiplik	noun	0.269
ace	noun	1.948
acele	adj	41.635
aceleci	adj	6.329
acelecilik	noun	0.052
acem	noun	1.619
acemaşiran	noun	0.071
acemboru	noun	0.005
acembuselik	noun	0.024
acemce	noun	0.046
acemi	adj	18.864
acemice	adv	0.724
acemilik	noun	0.117
acemkürdi	noun	0.057
acente	noun	13.517
acentelik	noun	0.071
acep	adv	2.247
aceze	noun	0.084
acı	noun	202.141
acıbadem	noun	9.501
acıca	adj	0.03
acık	verb	7.248
acıkış	noun	0.003
acıklı	adj	6.223
acıklılık	noun	0.005
acılan	verb	0.122
acılı	adj	0.169
acılık	noun	0.024
acımasız	adj	22.706
acımasızca	adv	1.442
acımsı	adj	0.256
acımtırak	adj	0.03
acın	verb	1.028
acındır	verb	0.038
acıpayam	noun	0.74
acırga	noun	0.003
acısız	adj	0.057
acıyıcı	noun	0.005
acibe	noun	0.005
acil	adj	110.9
acilen	adv	19.373
aciliyet	noun	3.556
aciz	adj	2.321
acizane	adv	0.59
acizlik	noun	0.234
aclan	noun	1.303
acube	noun	0.035
acul	adj	0.212
acun	noun	1.624
acunal	noun	0.027
acunalp	noun	0.022
acunbüke	noun	0.016
acuner	noun	0.245
acunman	noun	0.011
acunseven	noun	0.005
acur	noun	0.365
acuze	noun	0.038
acyo	noun	0.005
aç	verb	1561.744
aça	noun	0.414
açacak	noun	2.394
açalya	noun	0.076
açan	noun	0.427
açangül	noun	0.016
açar	noun	3.504
açelya	noun	0.642
açgöz	adj	1.192
açgözlü	adj	0.952
açgözlülük	noun	0.06
açı	noun	600.612
açıcı	adj	0.019
açık	adj	841.898
açıkağız	noun	0.011
açıkalın	noun	5.205
açıkça	adv	0.582
açıkçası	noun	29.84
açıkçı	noun	0.041
açıkel	noun	0.735
açıker	noun	0.038
açıkgöz	adj	3.224
açıkgözlük	noun	0.008
açıkgözlülük	noun	0.003
açıkgün	noun	0.024
açıkhava	noun	8.941
açıkla	verb	1728.944
açıklanan	noun	0.103
açıklayan	noun	0.272
açıklayıcı	adj	0.041
açıklayıcılık	noun	0.003
açıklık	noun	38.862
açıktan	adv	5.259
açıl	verb	2.337
açılama	noun	0.318
açılay	noun	0.022
açılım	noun	25.631
açılış	noun	0.256
açım	noun	4.987
açımla	verb	0.416
açın	verb	6.859
açınım	noun	0.068
açıortay	noun	0.065
açıölçer	noun	0.076
açısal	adj	1.516
açıt	noun	0.041
açkı	noun	0.03
açkıla	verb	0.052
açkıngül	noun	0.008
açlık	noun	41.101
açma	noun	0.34
açmaz	noun	5.327
ad	noun	808.2
ad	noun	496.944
ada	noun	134.163
adabımuaşeret	noun	0.044
adacık	noun	2.106
adacyo	noun	0.003
adahan	noun	0.03
adak	noun	3.434
adakale	noun	0.15
adakla	verb	0.005
adaklı	adj	0.019
adaklık	adj	0.003
adal	noun	0.278
adalan	noun	0.03
adalar	noun	5.668
adale	noun	7.888
adaleli	adj	0.011
adalet	noun	219.226
adaletli	adj	0.011
adaletsiz	adj	0.014
adaletsizlik	noun	0.008
adalettin	noun	0.011
adalı	adj	0.775
adam	noun	684.597
adamakıllı	adv	1.453
adamca	adv	0.011
adamcağız	noun	2.898
adamcık	noun	0.046
adamış	noun	0.395
adamlık	noun	0.128
adamot	noun	0.201
adana	noun	101.488
adanalı	noun	3.782
adanan	noun	0.019
adanaspor	noun	19.073
adanır	noun	0.539
adap	noun	4.949
adapazarı	noun	16.611
adaptasyon	noun	4.642
adapte	adj	9.316
adaptör	noun	3.336
adar	noun	0.871
adasal	noun	0.022
adaş	noun	1.02
adaşlık	noun	0.003
adavet	noun	0.038
aday	noun	490.877
adayavrusu	noun	0.008
adaylık	noun	38.601
addet	verb	5.357
addolun	verb	0.307
adedi	adv	4.857
adem	noun	0.109
adembaba	noun	0.008
ademci	noun	0.003
ademelması	noun	0.014
ademimerkeziyet	noun	0.052
ademimerkeziyetçi	noun	0.008
ademimerkeziyetçilik	noun	0.003
ademiyet	noun	0.005
ademoğul	noun	0.789
adenit	noun	0.019
adese	noun	0.144
adet	noun	15.4
adeta	adv	104.876
adeviye	noun	0.318
adıbelli	noun	0.185
adıgün	noun	0.005
adıgüzel	noun	1.094
adıl	noun	0.185
adım	noun	356.58
adımbaşı	adv	0.019
adımla	verb	0.743
adımlık	adj	0.019
adımsayar	noun	0.008
adın	noun	4.247
adına	adv	0.065
adısönmez	noun	0.038
adıvar	noun	1.72
adıyaman	noun	15.218
adıyan	noun	0.008
adi	adj	13.022
adidas	noun	4.06
adil	adj	52.113
adilane	adv	0.446
adile	noun	2.204
adilhan	noun	0.041
adilik	noun	0.038
adillik	noun	0.005
adisyon	noun	0.386
adlan	verb	0.06
adlandır	verb	0.014
adlı	noun	0.068
adlığ	noun	0.079
adli	adj	74.002
adliye	noun	35.929
adliyeci	noun	0.005
adnan	noun	54.51
adni	noun	0.041
adniye	noun	0.011
adrenalin	noun	4.498
adres	noun	191.867
adriyatik	noun	1.377
adsız	adj	0.022
adsl	noun	14.331
adsoy	noun	0.014
adviye	noun	0.547
aeg	noun	0.248
aerobik	noun	2.677
aerodinamik	noun	0.819
aerolojik	adj	0.005
aet	noun	3.134
af	noun	89.653
afacan	noun	1.352
afacanlık	noun	0.014
afak	noun	0.171
afaki	adj	0.816
afal	adj	0.101
afalla	verb	1.464
afat	noun	0.082
afazi	noun	0.084
afer	noun	1.668
aferin	ınterj	3.728
aferist	noun	0.014
afet	noun	39.836
afetzede	noun	1.559
affan	noun	1.186
affet	verb	46.007
affeyle	verb	0.073
affolun	verb	0.093
afgan	noun	34.185
afganistan	noun	119.914
afi	noun	0.465
afif	adj	0.675
afife	adj	1.235
afili	adj	0.155
afis	noun	0.215
afiş	noun	25.261
afişçi	noun	0.005
afişe	adj	0.694
afişle	verb	0.161
afitap	noun	0.101
afiye	noun	0.019
afiyet	noun	6.356
afoni	noun	0.041
aforizm	noun	0.003
aforizma	noun	0.356
aforoz	noun	1.148
aforozla	verb	0.003
afp	noun	19.824
afra	noun	0.735
afrika	noun	87.473
afrikalı	noun	0.895
afsun	noun	0.052
afsunla	verb	0.065
afşar	noun	1.899
afşin	noun	1.945
aft	noun	0.43
aftos	noun	0.019
afyon	noun	22.072
afyonkeş	noun	0.024
afyonla	verb	0.15
afyonlu	adj	0.106
agah	noun	2.343
agami	noun	0.038
aganta	noun	0.25
agassi	noun	6.783
agel	noun	0.063
agik	noun	0.411
agil	noun	0.035
agit	noun	7.354
agitato	adv	0.035
aglütinasyon	noun	0.035
aglütinin	noun	0.003
agnosi	noun	0.003
agnostik	adj	0.163
agnostisizm	noun	0.095
agnozi	noun	0.003
agop	noun	1.257
agora	noun	4.28
agorafobi	noun	0.275
agraf	noun	0.019
agrandisman	noun	0.019
agrandisör	noun	0.06
agrega	noun	1.083
agreman	noun	0.15
agresif	adj	11.523
agresiflik	noun	0.095
agronomi	noun	0.035
agu	ınterj	0.223
agucuk	ınterj	0.019
agula	verb	0.011
aguş	noun	0.049
ağ	noun	101.714
ağa	noun	44.671
ağababa	noun	0.305
ağabay	noun	0.011
ağabey	noun	47.768
ağabeylik	noun	0.12
ağacan	noun	0.101
ağacık	noun	0.207
ağacımsı	adj	0.022
ağaç	noun	108.764
ağaççık	noun	0.199
ağaçkakan	noun	0.408
ağaçkesen	noun	0.003
ağaçla	verb	0.136
ağaçlan	verb	0.283
ağaçlı	adj	0.041
ağaçlık	noun	0.378
ağaçlıklı	adj	0.005
ağaçsı	adj	0.035
ağahan	noun	0.574
ağahanım	noun	0.003
ağahatun	noun	0.003
ağakan	noun	0.003
ağalık	noun	0.166
ağan	noun	0.71
ağaner	noun	0.016
ağansoy	noun	0.626
ağaoğlu	noun	9.071
ağar	noun	35.548
ağarantan	noun	0.005
ağartı	noun	0.095
ağca	noun	26.18
ağcabey	noun	0.011
ağcı	noun	0.016
ağça	noun	0.038
ağçelik	noun	0.005
ağda	noun	2.049
ağdacı	noun	0.024
ağdalan	verb	0.024
ağdalı	adj	0.022
ağdır	verb	0.024
ağer	noun	0.022
ağgül	noun	0.177
ağı	noun	3.885
ağıl	noun	0.882
ağıla	verb	0.09
ağılı	adj	0.003
ağım	noun	0.231
ağın	noun	2
ağır	adj	329.682
ağırbaş	noun	2.854
ağırbaşlı	adj	0.166
ağırbaşlılık	noun	0.011
ağırca	adv	0.035
ağırkanlı	noun	0.087
ağırkanlılık	noun	0.003
ağırla	verb	41.028
ağırlık	noun	211.291
ağırlıklı	adj	0.049
ağırsa	verb	0.147
ağırşak	noun	0.144
ağırtaş	noun	0.014
ağırtop	noun	0.005
ağıt	noun	5.891
ağıtçı	noun	0.005
ağıtlama	noun	0.005
ağız	noun	151.337
ağızcıl	adj	0.016
ağızdan	adv	0.784
ağızla	verb	0.008
ağızlı	adj	0.06
ağızlık	noun	0.087
ağızlıkçı	noun	0.005
ağla	verb	112.413
ağlamaklı	adj	2.362
ağlamsı	adj	0.014
ağlan	verb	0.131
ağlantı	noun	0.008
ağlaş	verb	1.219
ağlatı	noun	0.022
ağlayıcı	noun	0.003
ağlayış	noun	0.109
ağlı	adj	0.063
ağna	verb	0.014
ağnam	noun	0.016
ağraz	noun	0.011
ağrı	noun	108.432
ağrılı	adj	0.054
ağrısız	adj	0.003
ağsı	adj	0.022
ağustos	noun	255.095
ağyar	noun	0.25
ah	noun	41.319
aha	postp	2.479
ahacık	postp	0.003
ahali	noun	7.006
ahar	noun	0.131
aharla	verb	0.035
ahat	noun	0.852
ahbap	noun	3.358
ahbapça	adv	0.005
ahbaplık	noun	0.054
ahcar	noun	0.008
ahdet	verb	0.267
ahdi	adj	0.327
ahen	noun	0.019
ahenk	noun	5.98
ahenkli	adj	0.022
ahenktar	adj	0.011
aheste	adj	0.569
ahestelik	noun	0.003
ahfat	noun	0.28
ahfeş	noun	0.024
ahır	noun	6.062
ahıska	noun	1.935
ahi	noun	1.763
ahilik	noun	0.052
ahir	adj	0.669
ahiren	adv	0.182
ahiret	noun	5.249
ahiretlik	adj	0.005
ahit	noun	1.894
ahitleş	verb	0.014
ahitname	noun	0.016
ahiz	noun	0.027
ahize	noun	1.276
ahkam	noun	5.945
ahla	verb	0.152
ahlaf	noun	0.011
ahlak	noun	56.825
ahlakça	adv	0.063
ahlakçı	noun	0.141
ahlakçılık	noun	0.008
ahlaken	adv	0.977
ahlaki	adj	22.676
ahlakiyat	noun	0.003
ahlaklı	adj	0.114
ahlaksal	adj	0.667
ahlaksız	adj	0.044
ahlaksızlık	noun	0.003
ahlat	noun	0.637
ahlat	noun	0.471
ahlat	noun	0.599
ahmad	noun	0.686
ahmak	adj	2.563
ahmakça	adj	0.144
ahmakıslatan	noun	0.014
ahmaklık	noun	0.035
ahmed	noun	30.759
ahmet	noun	352.085
ahram	noun	0.737
ahraz	adj	0.044
ahretlik	noun	0.06
ahsen	noun	1.521
ahşa	noun	0.008
ahşap	adj	23.995
ahtapot	noun	3.774
ahter	noun	0.31
ahu	noun	3.287
ahududu	noun	1.243
ahval	noun	1.804
ahzet	verb	0.011
aıds	noun	19.822
aidat	noun	9.071
aidiyet	noun	5.216
aihm	noun	28.972
aihs	noun	2.174
aile	noun	615.631
ailece	adv	5.074
ailecek	adv	2.702
ailelik	adj	0.011
ailevi	adj	4.427
air	noun	14.217
airbus	noun	7.931
airlines	noun	4.394
airways	noun	2.979
aişe	noun	0.724
ait	postp	380.584
ajan	noun	34.392
ajanda	noun	4.231
ajanlık	noun	0.117
ajans	noun	76.72
ajda	noun	12.181
ajitasyon	noun	0.933
ajitatör	adj	0.052
ajite	noun	0.424
ajlan	noun	0.419
ajur	noun	0.128
ak	verb	124.583
aka	noun	1.722
akabay	noun	0.016
akabe	noun	1.037
akabey	noun	0.014
akabinde	adv	6.337
akaç	noun	0.054
akaçla	verb	0.024
akad	noun	2.903
akademi	noun	46.851
akademik	adj	46.206
akademisyen	noun	23.636
akadlı	noun	0.003
akağaç	noun	0.117
akait	noun	0.093
akaju	noun	0.005
akak	noun	0.016
akal	noun	0.884
akala	noun	0.019
akalan	noun	0.199
akalın	noun	9.605
akalp	noun	0.095
akaltan	noun	0.014
akamet	noun	0.427
akan	noun	1.54
akanay	noun	0.022
akaner	noun	0.014
akansu	noun	0.106
akant	noun	0.035
akanyıldız	noun	0.035
akar	noun	15.923
akarca	noun	0.906
akarcalı	noun	3.423
akarçay	noun	0.144
akarçeşme	noun	0.014
akaret	noun	0.969
akarlar	noun	0.068
akarsel	noun	0.027
akarsu	adj	4.435
akartuna	noun	0.038
akartürk	noun	0.117
akaryakıt	noun	43.656
akaryakıtçı	noun	0.011
akasma	noun	0.016
akasoy	noun	0.016
akasya	noun	2.381
akat	noun	33.301
akata	noun	0.114
akatay	noun	0.544
akay	noun	11.156
akaydın	noun	0.351
akbaba	noun	3.039
akbacı	noun	0.011
akbal	noun	2.378
akbalık	noun	0.141
akbalıkçıl	noun	0.019
akbank	noun	26.063
akbaran	noun	0.008
akbaş	noun	5.883
akbaşak	noun	0.027
akbatu	noun	0.041
akbatur	noun	0.024
akbay	noun	1.989
akbayar	noun	0.057
akbek	noun	0.005
akbel	noun	0.28
akbet	noun	0.003
akbey	noun	0.103
akbıyık	noun	1.654
akbil	noun	1.132
akbilge	noun	0.016
akboğa	noun	0.093
akbora	noun	0.027
akboy	noun	0.008
akbörü	noun	0.003
akbudun	noun	0.014
akbuğday	noun	0.011
akbulut	noun	11.678
akburak	noun	0.044
akburç	noun	0.005
akburçak	noun	0.005
akcan	noun	7.825
akcebe	noun	0.027
akciğer	noun	28.923
akça	noun	6.451
akçaabat	noun	12.677
akçaağaç	noun	0.264
akçaağaçgiller	noun	0.003
akçabay	noun	0.005
akçadağ	noun	1.028
akçael	noun	0.005
akçagül	noun	0.003
akçakale	noun	0.868
akçakavak	noun	0.038
akçakaya	noun	0.307
akçakesme	noun	0.005
akçakıl	noun	0.005
akçakoca	noun	14.744
akçal	noun	0.207
akçalı	noun	0.346
akçam	noun	2.432
akçan	noun	0.487
akçasal	adj	0.005
akçasu	noun	0.06
akçay	noun	5.39
akçe	noun	3.689
akçer	noun	0.226
akçıl	noun	0.163
akçınar	noun	0.196
akçiçek	noun	0.577
akçit	noun	0.024
akçora	noun	0.082
akçöpleme	noun	0.008
akdağ	noun	18.543
akdal	noun	0.041
akdamar	noun	1.05
akdarı	noun	0.019
akdemir	noun	3.738
akdeniz	noun	88.61
akdes	noun	0.06
akdet	verb	3.303
akdik	noun	0.272
akdiken	noun	0.052
akdil	noun	0.054
akdoğ	noun	0.218
akdoğan	noun	2.269
akdoğdu	noun	0.054
akdoğmuş	noun	0.016
akdoğu	noun	0.008
akdolun	noun	0.071
akdora	noun	0.21
akdoru	noun	0.011
akdoruk	noun	0.008
akdöl	noun	0.011
akduman	noun	0.438
akdur	noun	0.098
akdut	noun	0.016
akel	noun	6.326
akemi	noun	0.008
aker	noun	5.523
akergin	noun	0.03
akerman	noun	0.212
akersan	noun	0.003
akersoy	noun	0.005
akgiray	noun	0.141
akgöl	noun	0.392
akgüç	noun	0.348
akgül	noun	5.926
akgün	noun	19.982
akgündüz	noun	3.556
akgüner	noun	0.109
akgüneş	noun	0.822
akgüngör	noun	0.09
akgünlük	noun	0.003
akhan	noun	0.936
akhanım	noun	0.063
akhisar	noun	4.073
akhisarlı	noun	0.019
akhun	noun	0.517
akı	noun	11.509
akıalp	noun	0.005
akıbet	noun	10.086
akıcı	adj	0.351
akıcılık	noun	0.024
akıl	noun	400.272
akılbek	noun	0.005
akılcı	adj	0.005
akılcılık	noun	0.008
akıllan	verb	0.531
akıllı	noun	3.004
akıllıca	adj	8.122
akıllıoğlu	noun	0.463
akılsal	adj	0.093
akılsız	adj	0.016
akım	noun	70.634
akıman	noun	0.084
akımölçer	noun	0.008
akımtoplar	noun	0.011
akın	noun	69.181
akınal	noun	0.155
akınalp	noun	0.033
akıncı	noun	1.448
akıncıbay	noun	0.011
akıner	noun	0.588
akıneri	noun	0.005
akıntan	noun	0.019
akıntı	noun	12.753
akıntılı	adj	0.008
akıntıölçer	noun	0.003
akış	noun	0.294
akışkan	adj	4.704
akışkanlaştırıcı	noun	0.005
akışkanlık	noun	0.106
akışma	noun	0.003
akıt	verb	11.735
akibe	noun	0.024
akide	noun	0.482
akif	noun	20.681
akife	noun	0.087
akik	noun	0.863
akil	noun	3.902
akile	noun	0.261
akim	adj	0.697
akinci	noun	0.033
akip	noun	0.15
akipek	noun	0.038
akis	noun	10.802
akit	noun	0.522
akkadın	noun	0.008
akkale	noun	0.337
akkan	noun	2.103
akkaplan	noun	0.011
akkar	noun	0.19
akkaraman	noun	0.041
akkarınca	noun	0.003
akkartal	noun	0.044
akkaş	noun	2.514
akkavak	noun	0.114
akkaya	noun	14.959
akkaynak	noun	1.099
akkelebek	noun	0.003
akkemik	noun	0.022
akkerman	noun	0.12
akkılıç	noun	0.327
akkın	noun	0.713
akkız	noun	0.068
akkol	noun	0.212
akkor	adj	2.381
akköy	noun	0.212
akköz	noun	0.008
akkurt	noun	0.887
akkuş	noun	2.544
akkutlu	noun	0.005
akkuyruk	noun	0.079
akkuyu	noun	2.152
akla	verb	21.405
aklan	noun	0.433
aklen	adv	0.19
aklı	adj	0.161
aklıevvel	adj	0.305
aklıevvellik	noun	0.003
aklık	noun	0.024
aklınca	adv	0.656
aklıselim	noun	1.798
akli	adj	5.311
akliyat	noun	0.003
akliye	noun	0.008
akliyeci	noun	0.003
akm	noun	4.495
akman	noun	10.483
akmaner	noun	0.049
akmaz	noun	0.427
akmeriç	noun	0.052
akmerkez	noun	6.176
akne	noun	2.811
aknur	noun	0.15
akol	noun	0.215
akonitin	noun	0.003
akor	noun	1.616
akordeon	noun	1.317
akordeoncu	noun	0.022
akordiyon	noun	0.201
akort	noun	0.824
akortçu	noun	0.016
akortla	verb	0.005
akova	noun	1.401
akozan	noun	0.003
akönder	noun	0.003
akören	noun	0.313
aköz	noun	1.894
akp	noun	205.57
akpas	noun	0.027
akpazar	noun	0.169
akpınar	noun	12.018
akpolat	noun	0.571
akpulat	noun	0.035
akraba	noun	44.783
akrabalık	noun	0.19
akran	noun	1.839
akreditasyon	noun	5.319
akreditif	noun	2.073
akrep	noun	9.629
akrepler	noun	0.346
akrobasi	noun	1.771
akrobat	noun	0.71
akromatik	adj	0.016
akromatopsi	noun	0.005
akromegali	noun	0.073
akronim	noun	0.014
akropol	noun	1.194
akrostiş	noun	0.231
aks	noun	6.718
aksa	verb	38.457
aksak	adj	39.94
aksakal	noun	1.35
aksaklık	noun	0.77
aksal	noun	0.59
aksam	noun	13.447
aksan	noun	2.593
aksaray	noun	14.32
aksaraylı	noun	0.038
aksarı	noun	0.035
aksata	noun	0.005
aksay	noun	0.593
aksaz	noun	0.642
akse	noun	0.294
akseki	noun	1.039
aksel	noun	2.305
akselerometre	noun	0.016
aksen	noun	0.063
akseptans	noun	0.095
akser	noun	0.046
akses	noun	0.4
aksesuar	noun	20.11
akset	verb	4.185
akseven	noun	0.005
aksevil	noun	0.016
aksın	noun	1.135
aksır	verb	0.46
aksırık	noun	0.34
aksırıklı	adj	0.003
aksi	adj	72.312
aksilen	verb	0.035
aksilik	noun	0.329
aksine	adv	70.313
aksiseda	noun	0.03
aksiyom	noun	0.547
aksiyon	noun	17.838
aksiyoner	noun	0.139
aksoğan	noun	0.022
akson	noun	0.207
aksona	noun	0.024
aksoy	noun	29.149
aksöğüt	noun	0.005
aksöz	noun	0.58
aksu	noun	78.894
aksun	noun	0.155
aksuna	noun	0.019
aksuner	noun	0.011
aksungur	noun	0.348
aksülamel	noun	0.057
aksülün	noun	0.003
aksüyek	noun	0.041
akşam	noun	309.346
akşamcı	noun	0.147
akşamcılık	noun	0.008
akşamdan	adv	1.126
akşamla	verb	0.073
akşamları	adv	5.352
akşamleyin	adv	0.199
akşamlık	adj	0.016
akşamsefa	noun	0.027
akşamüst	noun	1.042
akşamüstü	adv	3.51
akşamüzer	noun	0.152
akşamüzeri	adv	0.833
akşehir	noun	3.319
akşener	noun	2.9
akşın	adj	0.033
akşit	noun	5.197
aktaç	noun	0.087
aktalay	noun	0.049
aktan	noun	5.126
aktar	verb	222.346
aktarıcı	noun	0.071
aktarıcılık	noun	0.003
aktarım	noun	15.795
aktarış	noun	0.003
aktariye	noun	0.06
aktarlık	noun	0.003
aktarma	noun	1.605
aktarmacı	noun	0.027
aktarmacılık	noun	0.003
aktarmalı	adj	0.011
aktaş	noun	47.675
aktay	noun	0.348
aktekin	noun	0.174
aktemür	noun	0.011
aktı	noun	0.182
aktif	adj	101.428
aktiflik	noun	0.052
aktimur	noun	0.076
aktinit	noun	0.038
aktinyum	noun	0.038
aktivite	noun	39.257
aktivizm	noun	0.166
aktolga	noun	0.106
aktolun	noun	0.484
aktör	noun	56.491
aktöre	noun	0.552
aktörlük	noun	0.152
aktris	noun	11.294
aktuğ	noun	8.571
aktuna	noun	1.197
aktunç	noun	0.43
aktüalite	noun	0.609
aktüel	adj	7.014
aktüer	noun	0.106
aktüeryal	adj	0.974
aktün	noun	0.008
aktürk	noun	2.149
akupunktur	noun	4.182
akur	adj	0.008
akustik	noun	4.596
akut	noun	5.523
akü	noun	8.432
akümülatör	noun	0.582
akün	noun	0.618
akünal	noun	0.038
akva	noun	0.016
akvam	noun	0.444
akvarel	noun	0.005
akvaryum	noun	11.463
akvaryumcu	noun	0.109
akvaryumculuk	noun	0.011
akyavaş	noun	0.427
akyazı	noun	2.851
akyel	noun	5.268
akyıldız	noun	6.47
akyiğit	noun	0.449
akyol	noun	9.901
akyön	noun	0.188
akyurt	noun	0.947
akyuvar	noun	0.822
akyürek	noun	2.74
akyüz	noun	11.738
akzambak	noun	0.011
al	verb	4952.412
ala	adj	3.524
alaaddin	noun	7.939
alaattin	noun	13.719
alabacak	adj	0.044
alabalık	noun	1.834
alabalıkgiller	noun	0.005
alabanda	noun	0.112
alabaş	noun	0.09
alabay	noun	0.131
alabegüm	noun	0.005
alabildiğine	adv	6.117
alabora	noun	5.385
alabros	adj	0.019
alaca	noun	1.333
alacabalıkçıl	noun	0.005
alacak	noun	130.074
alacakaptan	noun	0.786
alacakaranlık	noun	2.919
alacakarga	noun	0.003
alacaklı	adj	5.921
alacala	verb	0.003
alacalı	adj	0.044
alacalık	noun	0.005
alacan	noun	0.114
alaçam	noun	0.571
alaçatı	noun	4.095
alaçık	noun	0.005
aladoğan	noun	0.084
alafranga	adj	1.559
alafrangacı	noun	0.003
alafrangalık	noun	0.008
alagarson	noun	0.005
alageyik	noun	0.283
alagöz	noun	1.668
alagün	noun	0.019
alahan	noun	0.044
alaimisema	noun	0.005
alain	noun	6.438
alaka	noun	37.14
alakadar	adj	1.494
alakadarlık	noun	0.005
alakalan	verb	0.016
alakalı	adj	1.654
alakarga	noun	0.106
alakart	noun	0.237
alakasız	adj	0.008
alakız	noun	0.008
alakoç	noun	0.125
alakurt	noun	1.785
alakuş	noun	0.34
alala	verb	0.068
alamana	noun	0.152
alamerikan	adj	0.016
alamet	noun	1.85
alametifarika	noun	0.049
alaminüt	adj	0.008
alan	noun	997.453
alanalp	noun	0.033
alanay	noun	0.06
alanbay	noun	0.011
alaner	noun	0.024
alangoya	noun	0.288
alangu	noun	0.141
alanur	noun	0.201
alanya	noun	15.917
alapınar	noun	0.044
alar	verb	1.379
alarga	noun	0.28
alarko	noun	3.806
alarm	noun	32.079
alaska	noun	2.903
alasya	noun	1.839
alaşehir	noun	1.967
alaşım	noun	3.562
alaşımla	verb	0.024
alat	noun	0.754
alatan	noun	0.166
alataş	noun	2.109
alatav	adj	0.008
alatay	noun	0.019
alaton	noun	2.865
alaturka	adj	4.982
alaturkacı	noun	0.003
alaturkalık	noun	0.033
alavere	noun	0.229
alay	noun	24.665
alaybey	noun	0.318
alaybozan	noun	0.008
alaycı	adj	4.011
alaycılık	noun	0.022
alayiş	noun	0.041
alayişli	adj	0.003
alaylı	noun	0.329
alaysı	adj	0.027
